Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On
DIY (Do It Yourself),diy-do-it-yourself,64c83b56e824393ef4e721bc,64ce5da69e1879e4a85d8e06,Sat Aug 05 2023 14:33:10 GMT+0000 (Coordinated Universal Time),Sat Aug 05 2023 14:33:10 GMT+0000 (Coordinated Universal Time),Sat Aug 05 2023 15:10:38 GMT+0000 (Coordinated Universal Time)
Automotive,automotive,64c83b56e824393ef4e721bc,64ce5d3e0fac80f72f491e6c,Sat Aug 05 2023 14:31:26 GMT+0000 (Coordinated Universal Time),Sat Aug 05 2023 14:31:26 GMT+0000 (Coordinated Universal Time),Sat Aug 05 2023 15:10:38 GMT+0000 (Coordinated Universal Time)
Car Care and Maintenance,car-care-and-maintenance,64c83b56e824393ef4e721bc,64ce5caa8633ce9ba86bf904,Sat Aug 05 2023 14:28:58 GMT+0000 (Coordinated Universal Time),Sat Aug 05 2023 14:28:58 GMT+0000 (Coordinated Universal Time),Sat Aug 05 2023 15:10:38 GMT+0000 (Coordinated Universal Time)
